word,offset,length
某处,30277,3
Christophernolan,30280,4
群交,30284,4
实话,30288,3
benalfleck,30291,4
GeorgeSidney,30295,3
恶马恶人骑,30298,3
浓淡,30301,4
童生,30305,6
ILOVEYOU,30311,3
黄荣亮,30314,3
平靜,30317,3
布鲁斯,30320,54
韋家輝,30374,22
春夏秋冬,30396,3
uh,30399,4
Carlos,30403,12
懊恼,30415,131
Burdon,30546,7
Nights,30553,3
轻浮,30556,10
贾已,30566,3
paris,30569,6
辛树芬,30575,3
没女,30578,3
Newell,30581,13
ADORE,30594,10
Richardson,30604,3
炮兒,30607,8
二十一,30615,4
这些年来,30619,3
爱樱木,30622,3
高亚麟,30625,3
helena,30628,3
Finding,30631,6
A91,30637,3
83,30640,31
